PUNTEGGIO,RISPCORRETTE,RISPERRATE,RISPNULLE,MATRICOLA
"2,5",5,5,2,2076586
6,7,2,3,2009650
5,6,2,4,2046840
3,4,2,6,2087530
"-1,5",2,7,3,2077432
"-0,5",3,7,2,1751583
3,6,6,0,2049543
1,4,6,2,1547587
2,5,6,1,1919026
"1,5",4,5,3,1958925
"-1,5",2,7,3,2085129
"0,5",3,5,4,1910026
"1,5",4,5,3,1884019
"5,5",7,3,2,1933858
"5,5",6,1,5,1846223
"7,5",8,1,3,2061752
"8,5",9,1,2,1851631
0,4,8,0,2006777
4,6,4,2,1965206
"3,5",5,3,4,1883175
2,5,6,1,1935720
7,8,2,2,2049518
"0,5",4,7,1,1947934
0,3,6,3,1997543
"-1,5",2,7,3,2046124
4,6,4,2,1893072
4,6,4,2,1712694
"5,5",7,3,2,2047604
"6,5",7,1,4,1937059
6,6,0,6,2049350
"0,5",3,5,4,2046501
"4,5",6,3,3,1960374
2,4,4,4,1852155
8,8,0,4,2046991
12,12,0,0,2045067
3,5,4,3,2042904
6,7,2,3,1934897
"3,5",5,3,4,2075681
3,5,4,3,2047230
"5,5",7,3,2,2057291
"6,5",7,1,4,2046234
"2,5",5,5,2,2046542
6,8,4,0,1943273
-3,2,10,0,2048130
5,6,2,4,1963339
"9,5",10,1,1,1938880
"2,5",4,3,5,1937842
4,5,2,5,1811633
2,5,6,1,1935332
"4,5",6,3,3,1932500
"3,5",5,3,4,1983209
1,3,4,5,2045982
4,5,2,5,1918339
"5,5",7,3,2,1960045
5,6,2,4,1950009
6,7,2,3,1905065
2,5,6,1,1912241
9,10,2,0,2050030
4,5,2,5,2045928
"1,5",4,5,3,1839137
"-0,5",3,7,2,1797968
4,5,2,5,1940940
9,10,2,0,2047145
"7,5",8,1,3,1884161
3,5,4,3,1951221
"-0,5",3,7,2,1940484
"9,5",10,1,1,1945177
6,6,0,6,1933943
-3,2,10,0,1984871
9,10,2,0,2052530
"3,5",5,3,4,2044595
"3,5",5,3,4,1934865
0,2,4,6,1651220
"1,5",5,7,0,1897517
"4,5",6,3,3,1310129
"1,5",4,5,3,2047402
7,7,0,5,1933705
"3,5",6,5,1,1850491
