,,,
,--> Deve passare orale per voto >= 27,,
,,,
,,,
,Prova in Itinere,Scritto,Totale
2009650,3,17,20
2046840,"1,5",22,"23,5"
2087530,"1,5",15,"16,5"
1919026,0,3,3
1933858,2,12,14
1846223,2,19,21
2061752,1,23,24
1851631,1,21,22
1965206,2,10,12
2049518,1,27,28
1712694,1,18,19
2047604,"2,5",12,"14,5"
1937059,"1,5",13,"14,5"
2049350,"1,5",15,"16,5"
1960374,"2,5",28,30
2046991,2,26,28
2045067,3,30,30
2042904,"2,5",12,"14,5"
1934897,"1,5",19,"20,5"
2057291,1,19,20
2046234,"1,5",22,"23,5"
1943273,0,22,22
1963339,"1,5",27,"28,5"
1938880,3,30,30
1811633,0,18,18
1932500,2,4,6
1918339,0,18,18
1960045,0,14,14
1950009,2,8,10
1905065,2,22,24
2050030,2,26,28
1940940,1,22,23
2047145,2,21,23
1884161,0,23,23
1945177,"1,5",23,"24,5"
1933943,"1,5","18,5",20
2052530,3,28,30
2044595,"0,5",12,"12,5"
1933705,3,20,23
